Job Title,Employment Type,Salary In Usd
Data Science Consultant,FT,64369
Data Scientist,FT,68428
Head of Data Science,FT,85000
Head of Data,FT,230000
Machine Learning Engineer,FT,125000
Data Analytics Manager,FT,120000
Research Scientist,FT,450000
Data Analyst,FT,46759
Data Engineer,FT,74130
Data Science Engineer,FT,127543
Manager Data Science,FT,144000
Data Scientist,FT,13400
Data Scientist,FT,75966
Data Scientist,FT,150000
Data Science Consultant,FT,103000
Data Engineering Manager,FT,153000
Data Engineer,FT,90000
Data Analyst,FT,90000
Data Analyst,FT,60000
Data Scientist,FT,50000
AI Scientist,PT,12000
3D Computer Vision Researcher,PT,5423
ML Engineer,CT,270000
Applied Data Scientist,FT,54376
Machine Learning Engineer,FT,47681
Director of Data Science,FT,154963
Data Engineer,FT,28801
Data Analytics Engineer,FT,110000
Research Scientist,FT,83000
Machine Learning Engineer,FT,250000
Data Analyst,FT,59601
Data Analyst,FT,80000
Data Analyst,FT,10000
Machine Learning Engineer,FT,138000
Data Engineer,FT,140000
Data Analytics Engineer,FT,79866
Lead Data Analyst,FT,170000
Data Analyst,FT,80000
Data Scientist,FT,45760
BI Data Analyst,FT,100000
Data Scientist,FT,53641
Head of Data,FT,235000
BI Data Analyst,FT,150000
Data Engineering Manager,FT,79833
Machine Learning Scientist,FT,225000
Data Science Consultant,FT,77481
Machine Learning Infrastructure Engineer,FT,50180
Marketing Data Analyst,FT,89402
Lead Data Engineer,FT,103750
Director of Data Engineering,FT,114125
Machine Learning Engineer,FT,95362
Data Engineer,FT,30509
Data Engineer,FT,150000
Data Engineer,FT,115000
Research Scientist,FT,187917
Data Analyst,FT,51814
Data Engineer,FT,106000
Data Engineer,FT,112872
BI Data Analyst,FT,36732
Data Engineer,FT,150000
ML Engineer,PT,15966
Computer Vision Software Engineer,FT,96554
Computer Vision Software Engineer,FT,70000
Financial Data Analyst,FT,450000
Data Scientist,FT,76958
Cloud Data Engineer,FT,89514
Data Scientist,FT,29831
Lead Data Engineer,FT,276000
Data Engineer,FT,188000
Cloud Data Engineer,FT,160000
Data Scientist,FT,105000
Data Engineer,FT,200000
Data Engineering Manager,FT,174000
Data Analyst,FT,93000
Data Scientist,FT,28475
Research Scientist,FT,61270
Data Scientist,FT,90000
Data Engineer,FT,70139
Data Analyst,FT,6072
Data Engineer,FT,33511
Principal Data Analyst,FT,170000
Data Engineer,FT,96833
Data Engineer,FT,13105
Data Scientist,FT,36952
Data Engineer,FT,72625
Data Analyst,FT,91000
Big Data Architect,FT,99956
Data Scientist,FT,165000
Data Analyst,FT,80000
Data Scientist,FT,103954
Data Engineer,FT,21695
Research Scientist,FT,42000
Lead Data Scientist,FT,115000
Research Scientist,FT,63971
Machine Learning Scientist,FT,260000
Head of Data Science,FT,110000
Data Architect,FT,180000
Data Analyst,FT,200000
Big Data Engineer,FT,109024
Director of Data Engineering,FT,200000
ML Engineer,FT,256000
Data Engineer,FT,110000
Data Scientist,FT,79833
Data Engineer,FT,72500
Machine Learning Engineer,FT,185000
Data Engineer,PT,70329
Research Scientist,FT,100000
Data Engineer,FT,112000
Machine Learning Engineer,FT,150000
Data Scientist,FT,21843
AI Scientist,FT,55000
Data Scientist,FT,58000
Data Scientist,FT,100000
Data Scientist,FT,78340
Machine Learning Engineer,FT,85000
Data Science Consultant,FT,77481
Staff Data Scientist,CT,105000
Data Analyst,FT,72000
Data Engineer,FT,65561
Data Engineer,FT,30337
Data Engineer,FT,111775
Data Engineer,FT,93150
